time,value_obs,issued_2026:02:09T00:00:00,issued_2026:02:09T12:00:00,issued_2026:02:10T00:00:00,issued_2026:02:10T12:00:00,issued_2026:02:11T00:00:00,issued_2026:02:11T12:00:00,issued_2026:02:12T00:00:00,issued_2026:02:12T12:00:00,issued_2026:02:13T00:00:00,issued_2026:02:13T12:00:00,issued_2026:02:14T00:00:00,issued_2026:02:14T12:00:00,issued_2026:02:15T00:00:00,issued_2026:02:15T12:00:00,issued_2026:02:16T00:00:00,issued_2026:02:16T12:00:00,issued_2026:02:17T00:00:00,issued_2026:02:17T12:00:00,issued_2026:02:18T00:00:00,issued_2026:02:18T12:00:00,issued_2026:02:19T00:00:00,issued_2026:02:19T12:00:00,issued_2026:02:20T00:00:00,issued_2026:02:20T12:00:00,issued_2026:02:21T00:00:00,issued_2026:02:21T12:00:00,issued_2026:02:22T00:00:00,issued_2026:02:22T12:00:00,issued_2026:02:23T00:00:00
2026-02-12T13:00:00Z,0,0.0,0.0,0.0,0.4,1.2,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-12T14:00:00Z,0,0.0,0.0,0.0,0.1,10.5,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-12T15:00:00Z,0,0.0,0.0,0.0,0.1,7.4,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,,
2026-02-12T16:00:00Z,0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,,,,,,,,,,,,,,,,,,,,,
2026-02-12T17:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,,,,,,,,,,,,,,,,,,,,
2026-02-12T18:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,,,,,,,,,,,,,,,,,,,,,
2026-02-12T19:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-12T20:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-12T21:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-12T22:00:00Z,0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-12T23:00:00Z,0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2026-02-13T00:00:00Z,0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T01:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T02:00:00Z,0,0.0,0.0,0.1,0.0,0.0,0.0,0.6,0.2,0.08,,,,,,,,,,,,,,,,,,,,
2026-02-13T03:00:00Z,0,0.0,0.0,1.5,0.0,0.0,0.0,1.3,0.0,0.08,,,,,,,,,,,,,,,,,,,,
2026-02-13T04:00:00Z,0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.04,,,,,,,,,,,,,,,,,,,,
2026-02-13T05:00:00Z,0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T06:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T07:00:00Z,0,1.6,0.0,0.0,0.0,-0.3,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T08:00:00Z,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,
2026-02-13T09:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T10:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,,,,,,,,,,,,,,,,,,
2026-02-13T11:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2026-02-13T12:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2026-02-13T13:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2026-02-13T14:00:00Z,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
